Gene,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
ABCA5,0.002237665,0.0016776816,0.001542606,0.0016736594,0.0015384601,0.0028024642,0.001664983,0.0012196386,0.0019453025,0.0014575423,0.001794667,0.0017996612,0.0018465378,0.0023508414,0.0017451635,0.0015994449,0.0016137537,0.0017879804,0.0009957154,0.0016749846,0.0019077879,0.0018422548,0.001532924,0.0029683001,0.0020094372,0.0015275102,0.0015257659,0.0012136286,0.0030250181,0.0010452259,0.0015456737,0.001125466,0.0009877888,0.0013568567,0.00156973,0.0026199182,0.0014323829,0.001765479,0.0015329301,0.001938038,0.0021410636,0.0019338637,0.0015969118,0.001136047,0.0013702883,0.0017014056,0.0021109392,0.0020235507,0.0019147232,0.0017819988,0.0014840929,0.0018140323,0.002110607,0.0019242438,0.0008309206,0.00096538157,0.0024725294,0.0011684338,0.0022709814,0.0037620869,0.0018504956,0.0015630719,0.0015214838,0.0030060837,0.002456116,0.0026867813,0.0031021605,0.003376438,0.003057502,0.0010659621,0.0042016124,0.0011158633,0.00428507,0.0038119147,0.0014150594,0.0036442678,0.0025988184,0.0016420222,0.0024405748,0.0012283854,0.0016138261,0.0018496786,0.0022104485,0.0017137609,0.001971592,0.0020225572,0.0012261731,0.003486985,0.0033212015,0.0018465291,0.0015042943,0.0009837932,0.0017054474,0.00327245,0.002960506,0.0012059021,0.002836738,0.0020129588,0.0021869224,0.0024106419,0.0027704698,0.003116789,0.0027234317,0.0028863382,0.0025134187,0.0026062268,0.0033746934,0.0014954974,0.0010186906,0.001277901,0.0013321717
ABCB10,0.0018522372,0.0021336041,0.0020494754,0.0019857453,0.0023845811,0.0021443646,0.0017985727,0.0019480787,0.002255096,0.002724454,0.0017763138,0.0018503322,0.0020573281,0.0016615497,0.0019292077,0.0014700312,0.0021093646,0.0016369616,0.0019289632,0.0023824694,0.002068467,0.0018074281,0.0017938773,0.0022812758,0.0023390078,0.0020108072,0.0020175877,0.0019751177,0.0023199755,0.0020388393,0.0021731455,0.001551875,0.0018249631,0.002122669,0.00229138,0.0019893772,0.0018629034,0.0022743766,0.0022842279,0.0025312519,0.0024162128,0.0021632018,0.0020522743,0.0022032477,0.0023461322,0.001991526,0.0017604477,0.0021899368,0.0019777264,0.0028888623,0.0025467705,0.0017173511,0.0019347627,0.00168606,0.002241421,0.0014599147,0.0015292191,0.0018117909,0.0025908758,0.0025201621,0.0014713397,0.0018073504,0.0018970482,0.0017708623,0.0021679332,0.0023685913,0.002101367,0.0018756049,0.0019194976,0.0016095693,0.002047799,0.0013825479,0.0027351042,0.002211987,0.0016006557,0.0022807454,0.0022971737,0.0018951242,0.0018169453,0.002041458,0.0018925053,0.0016897413,0.0018313408,0.0016818924,0.0016612376,0.0019831168,0.0010965888,0.002440241,0.0018416109,0.0020165797,0.0019213896,0.0019399879,0.0022705018,0.0022356014,0.0024616888,0.001477686,0.00271131,0.0019536193,0.0025165284,0.002350683,0.0018120552,0.00247325,0.0020465262,0.0015830625,0.0018420414,0.0016236188,0.0020397978,0.0021457803,0.0015326868,0.0018015992,0.0016445068
ABCC1,0.0031152428,0.001746838,0.0031629857,0.001314596,0.0027040234,0.0023835178,0.002288563,0.0022977504,0.0021952193,0.0033232851,0.00216442,0.0023128896,0.002575347,0.0020828883,0.0020610855,0.0017139353,0.0027636634,0.0017719592,0.0023823471,0.0026350042,0.0030035751,0.00248151,0.001807194,0.0053250636,0.0021544215,0.0018090424,0.0016899109,0.0019480328,0.0021521195,0.0022476655,0.0029162779,0.0015883693,0.0015956647,0.0018521987,0.0019745268,0.0018546612,0.0022526847,0.0017814306,0.0020647228,0.002166268,0.0023113724,0.002411515,0.002059708,0.0031541325,0.0028575573,0.0028123322,0.0022074776,0.0022882072,0.0018492389,0.0029726084,0.002587279,0.0019150348,0.002086797,0.0022379782,0.0023742453,0.0018696227,0.0016808407,0.0023915162,0.002057299,0.0021434901,0.0017990277,0.0021666917,0.0019142078,0.0018668807,0.0018151376,0.0018634031,0.0018704715,0.001700315,0.0014738892,0.0022775636,0.002201891,0.002048706,0.0021811875,0.0014591803,0.0018400208,0.0019817445,0.0017131999,0.002406628,0.0015649883,0.0016400905,0.0017190507,0.002496912,0.0012215136,0.0009029504,0.0014483827,0.001140446,0.0015689946,0.0026182663,0.0011164357,0.001481492,0.0014034178,0.0013573468,0.001845342,0.0016329222,0.0015944736,0.00089399057,0.001155485,0.0016685049,0.0014146891,0.0014497093,0.001175487,0.0020735848,0.0011115752,0.0012843064,0.0015828046,0.0013637319,0.0011988371,0.001872908,0.0018780809,0.001990444,0.0021062691
ABCG2,0.001759996,0.0013626986,0.0034327705,0.00246312,0.0020158172,0.0011278745,0.0011166191,0.0019382949,0.0028682894,0.0025404294,0.001982538,0.0010955341,0.0014567917,0.0028284162,0.0024849128,0.0033115395,0.0014232746,0.002141022,0.0018775824,0.0007734561,0.0012608834,0.0034565888,0.0017339513,0.0027431312,0.005138486,0.0018530819,0.0021604411,0.0016706198,0.0019969908,0.003915589,0.002192591,0.0011752982,0.0021869598,0.0010522394,0.00094270875,0.0015244466,0.0040116715,0.0018145469,0.0032978316,0.0016662482,0.0010385413,0.0011688042,0.0016333882,0.001702817,0.001017957,0.0019883679,0.00057596056,0.0016443068,0.0013356671,0.001476138,0.0020410568,0.0020123464,0.0014124734,0.00051127013,0.0015564979,0.0013505527,0.0017923922,0.00090787763,0.0012539797,0.0017583161,0.0006231447,0.0012639981,0.0026025844,0.0031163923,0.0017924836,0.0017660818,0.001397902,0.0033798614,0.0020679927,0.0018620067,0.0014739112,0.002131293,0.004075433,0.0018956327,0.0021895727,0.0012917223,0.0016884783,0.0018091213,0.0037678028,0.0012490202,0.0030950077,0.0014658343,0.0029690776,0.0028758065,0.0011752475,0.001196051,0.0016682469,0.0029732625,0.0018966474,0.0013554591,0.0008676171,0.0026777769,0.0016772049,0.004231623,0.0019189402,0.0030782658,0.003690722,0.001563643,0.0024476536,0.0012576566,0.0031588955,0.001276056,0.0024284972,0.0009240481,0.0016497022,0.0033764718,0.0017119271,0.005379808,0.001797717,0.0011650411,0.0011143739
ABHD3,0.0018209271,0.0037179731,0.0018244473,0.0020013626,0.001527759,0.001848936,0.0016715378,0.001552626,0.0013406305,0.0015731527,0.0024881505,0.0024190452,0.0016385695,0.0028296798,0.0024592963,0.0025453148,0.0018202396,0.005078016,0.0013938424,0.0016664714,0.0022445768,0.0015037276,0.0015265896,0.0018423286,0.0019289879,0.0028050365,0.0021824967,0.003269424,0.0019862026,0.0018260799,0.0017125517,0.002112651,0.0013629546,0.0012337882,0.002097504,0.0018530985,0.0018276217,0.0019608529,0.0014309287,0.0010317558,0.0018925746,0.0012453533,0.0018299171,0.0014251095,0.0015624071,0.0013908774,0.0016093705,0.0019983414,0.0013990536,0.0013992804,0.0013012612,0.0018414959,0.0018211355,0.0011895488,0.0012698792,0.003150745,0.0032123702,0.0014594587,0.0027769054,0.0020408165,0.0021534502,0.0016736418,0.0012413868,0.0027683778,0.002140806,0.0020015228,0.0030260163,0.0017322183,0.0030345505,0.0015285286,0.0013678729,0.0016321377,0.0029086624,0.0019130328,0.002045292,0.001808715,0.002836786,0.0014674141,0.003299834,0.0014737531,0.001548177,0.0023208396,0.002941024,0.002397859,0.0017143934,0.0022062194,0.0015195203,0.0019311984,0.0021031324,0.0012613218,0.0018422706,0.001988896,0.0010062773,0.0024701653,0.0015302132,0.0012397185,0.0018202275,0.0029800998,0.0029766713,0.0022256998,0.0029954575,0.001543857,0.0020947172,0.0017811133,0.0024795562,0.0029286672,0.003816243,0.0017485068,0.0017454247,0.0019147868,0.0015833894
ABLIM2,0.0023039915,0.0015656754,0.001517896,0.001826634,0.0016314181,0.0017427529,0.0021652249,0.0021085811,0.0031618178,0.002006254,0.0024854448,0.0022885595,0.0021026405,0.0027111692,0.0017251814,0.0017473069,0.0017904898,0.0019445057,0.0014264284,0.0020215372,0.0021695395,0.0020275756,0.0023856093,0.0019679496,0.0022997602,0.0017344509,0.0021673855,0.0022509869,0.0014523846,0.002470613,0.0025421383,0.0019848263,0.0017619728,0.002147454,0.0017398094,0.0023679126,0.0016488711,0.0021311103,0.0023944245,0.0014904621,0.0018373061,0.0027773136,0.0018433454,0.0026683554,0.0017540369,0.0021999103,0.0023562605,0.0021819186,0.0021273778,0.00165539,0.0015523352,0.0024435641,0.0018262534,0.0030218065,0.0027683415,0.00094152417,0.0022620438,0.001941402,0.001542157,0.0017058989,0.0014668754,0.0016495537,0.0026330005,0.002253474,0.0019068082,0.0015924384,0.001550852,0.0010849694,0.00194658,0.0016547508,0.0023085787,0.002808215,0.0022471389,0.0016535249,0.0016765406,0.0018739296,0.0019421253,0.0021599017,0.0020628695,0.002811825,0.0022762797,0.00233952,0.0017485112,0.0019311653,0.0023916108,0.0016052556,0.0025332419,0.0018238653,0.0019331952,0.0030361705,0.0014514335,0.0014108289,0.0023731042,0.0017573304,0.0023945274,0.0017807332,0.0022729794,0.001416825,0.0015990293,0.0018905157,0.0020056628,0.001505294,0.0017830621,0.0023238065,0.0024170368,0.002271275,0.0020408817,0.0020047333,0.0015151823,0.0015346253,0.002015727
ABO,0.0016625759,0.003526931,0.0011637168,0.0013114952,0.0019234759,0.0020568394,0.0019381284,0.0019804281,0.0012601429,0.0073536998,0.0011518582,0.004360471,0.001342811,0.0010769537,0.0021532562,0.0008582617,0.0051966724,0.0033286798,0.0016375487,0.0017938191,0.0030226272,0.0010270026,0.0008117218,0.0013216931,0.00071031577,0.0011735527,0.0012428989,0.0011066464,0.0011683551,0.0048878924,0.0017898076,0.0068416186,0.001746273,0.0011408549,0.00090454635,0.0010873745,0.00443447,0.001222269,0.0070798253,0.005296012,0.0018158054,0.0014295034,0.001383535,0.0020954516,0.0042487076,0.0021906125,0.0011190939,0.001773935,0.001955607,0.0011603867,0.0007989376,0.0043073054,0.0016277402,0.0010301282,0.0043446766,0.0010124336,0.000894917,0.0018076339,0.001151454,0.0016355994,0.0026251788,0.0008531962,0.0013477863,0.0011651327,0.0051081195,0.0015209948,0.0011243077,0.0008564212,0.0010838027,0.00088138046,0.00047023618,0.0015417427,0.0046294797,0.0012271646,0.0033302868,0.0010459448,0.002325038,0.0018707726,0.0018986659,0.00077155937,0.00067300815,0.0015505995,0.0008760123,0.0012052289,0.0012004065,0.001520087,0.00127762,0.0027312343,0.0012200638,0.0012253204,0.0015844097,0.0010852942,0.0021919166,0.0010732692,0.0013264245,0.0008972106,0.0015179733,0.0008139447,0.0012965607,0.0013828854,0.0061253784,0.0033854223,0.0016263227,0.00042950117,0.0006913972,0.0020899842,0.004485865,0.0017416693,0.0010274193,0.0055194004,0.0011566577
ACACA,0.0026248686,0.001840819,0.0025830062,0.0018757444,0.0023428723,0.0020307237,0.0018467659,0.0021437143,0.0025979346,0.003143927,0.0018071107,0.0020565807,0.0022717384,0.0021750946,0.001963206,0.0018321163,0.0019594687,0.0019250452,0.0023700416,0.0030997607,0.002233251,0.0029098266,0.0017255201,0.0028872262,0.0022729824,0.0016929882,0.0015555733,0.0021759286,0.0021069818,0.0017237603,0.001738969,0.0015714233,0.002045929,0.0025159428,0.0027841912,0.0021678691,0.0023495737,0.0020229437,0.002826054,0.003229355,0.0029471042,0.0028362358,0.0027808263,0.004062999,0.0024843581,0.0018960134,0.0020310045,0.002029659,0.0018326022,0.0031107327,0.0017350116,0.0033248286,0.0018650688,0.0025291285,0.0027300147,0.00195874,0.0017819332,0.0023659905,0.0016248408,0.0023293558,0.0024896662,0.0021393031,0.002353238,0.0016641789,0.0023687992,0.0020456987,0.0025470206,0.001456634,0.0014371836,0.0025820255,0.0025026305,0.002396173,0.0017483027,0.0012983958,0.0018972706,0.0019973938,0.0017489747,0.0022232253,0.0013716893,0.0022092229,0.0026500993,0.0018870371,0.0010458556,0.0011194656,0.001502434,0.001164372,0.0020030306,0.0013464406,0.0014955422,0.0013964709,0.0012357989,0.0018884848,0.0015627224,0.0012143123,0.0019280158,0.0014849118,0.0012318006,0.0010701244,0.0017569892,0.0015888961,0.001114392,0.0015062358,0.0011323568,0.0013682336,0.0014059413,0.0014865596,0.0017845437,0.0013971289,0.0017509189,0.0010837057,0.0011195829
ACACB,0.0026861667,0.0011342004,0.0016482981,0.0012101672,0.0022086808,0.0021169372,0.0022872004,0.002329535,0.0031096106,0.00361426,0.0014984958,0.0019741943,0.0022547876,0.0018177108,0.0033070396,0.0018298528,0.0024588609,0.001931923,0.0019442827,0.003555794,0.0026295255,0.003293421,0.0017537677,0.002724718,0.0022557687,0.0013306648,0.002000344,0.0021625308,0.0020774854,0.0018866624,0.0031775688,0.0015369338,0.0017129524,0.002259698,0.0024418395,0.001501719,0.0023166323,0.0012491681,0.0017692698,0.0023253933,0.0016945546,0.00254558,0.0022333504,0.0026007032,0.002763119,0.0038154977,0.0021473377,0.0023401005,0.0024962416,0.00275414,0.0030014208,0.002662631,0.0019318232,0.0033040573,0.0018129777,0.0006555418,0.0013090245,0.002095557,0.0019174389,0.0014398308,0.0020396244,0.002197887,0.002317872,0.0018985968,0.0023500281,0.001693729,0.001484188,0.0016858584,0.0011223567,0.0020063221,0.0015212068,0.0022440106,0.0019867828,0.0012653136,0.0013557071,0.0014926691,0.0014465196,0.0023305013,0.0015216509,0.0021399737,0.002745583,0.0027831313,0.0009935378,0.00093950616,0.0021286546,0.0011013708,0.002225539,0.003510837,0.0013544367,0.0016149842,0.0013433825,0.001953192,0.0024834597,0.001551463,0.0015655577,0.0014636337,0.0009005764,0.0018591847,0.0014582347,0.0013122906,0.0012845959,0.003747556,0.0014287774,0.0011020664,0.0015023577,0.0008465729,0.0014648067,0.0023801841,0.0016907369,0.0019587807,0.0018418774
ACAD10,0.0019754681,0.0017478458,0.0021294146,0.002034071,0.0023818107,0.0021108312,0.0023351675,0.0022631967,0.0022612335,0.0022403053,0.0017556825,0.0023327437,0.0020682993,0.0019454478,0.0021182667,0.0022365758,0.0024561216,0.0017754635,0.0020821032,0.0022962252,0.0022073106,0.0020534096,0.0022465975,0.0023639128,0.001971305,0.0019563597,0.0021341657,0.0018303716,0.0020013407,0.0020142768,0.0020794026,0.0017757921,0.001971715,0.0017572372,0.0018621556,0.0020455134,0.0022193969,0.001853504,0.002158281,0.0022426567,0.00201372,0.002204332,0.0020713392,0.0023612452,0.0020374183,0.0019663782,0.0021914975,0.0019082727,0.0022001357,0.002269417,0.0026020906,0.0018781733,0.0023253893,0.0024203225,0.0024128694,0.0026053458,0.0018326248,0.002171169,0.001786921,0.0018042815,0.002126385,0.0020018253,0.0019174851,0.0017595463,0.0019622624,0.0017417888,0.0025024777,0.0020511078,0.00199843,0.002284864,0.0020274243,0.0020891125,0.0019680967,0.0016937067,0.0022115733,0.0019138039,0.0016739123,0.0018900252,0.0014631344,0.002058692,0.0021352672,0.0023970988,0.0018304029,0.0014497365,0.0018975203,0.0016302392,0.002108956,0.0021421406,0.001984649,0.0019882408,0.0018990174,0.0017964503,0.0015109591,0.0016590351,0.0017513899,0.0017574601,0.0016343769,0.0018368626,0.0018826692,0.0017719688,0.0018436159,0.0019800607,0.0018050696,0.0018910401,0.0018608543,0.0017499373,0.0017428308,0.0020375347,0.0016520283,0.002076323,0.0020893693
